trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.6, 'e': 0.3277227574378037}",25,0,5.153903716534322,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.6, 'e': 0.3244455298634257}",20,12,17.619031534454816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.3212010745647914}",20,16,7.524778395278007,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.3179890638191435}",20,11,5.685027231623938,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.31480917318095203}",25,15,18.62460309585871,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.3116610814491425}",35,23,5.274806100723309,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.30854447063465107}",20,0,-49.492864956334586,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.6, 'e': 0.3054590259283046}",30,11,-35.320987970718456,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.6, 'e': 0.30240443566902153}",25,0,-42.68480257063687,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
120,False,"{'a': 0.6, 'e': 0.2993803913123313}",20,8,7.235007766599174,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.296386587399208}",20,11,0.511416641307993,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.2934227215252159}",25,2,26.373919202697124,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.29048849430996376}",25,18,-8.23293337419635,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.2875836093668641}",20,0,30.300783544671464,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.6, 'e': 0.28470777327319546}",30,13,-18.554340853390418,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.6, 'e': 0.2818606955404635}",25,15,20.224795153072748,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.27904208858505886}",25,10,1.5624311877660615,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.2762516676992083}",20,9,14.260624282140814,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.2734891510222162}",20,9,-23.79371219770043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.6, 'e': 0.27075425951199406}",35,17,7.339266054908146,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.2680467169168741}",25,0,19.06601299578959,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.26536624974770534}",25,19,-1.2631631357405615,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.2627125872502283}",30,6,33.34514012140698,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.26008546137772603}",20,6,1.8322570932769293,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
